Title,Dimension (mm),Weight (cts),Certified Gemstones,Treatment,Clarity,Type,Shape,Price,Estimated RRP
*RARE* 14.15Cts Color Change Natural Bi-Color Fluorite Afghanistan,16.200 x 12.300 x 9.180,14.150,,No Treatment,VS,Faceted,Octagonal,,
0.74Cts Natural Black Diamond Round Cut Africa,3.950 x 3.950 x 5.190,0.740,,Irradiated,VS,Faceted,Round,,
Extremely Rare 0.69Cts Natural Color Shifting Hyalite Opal Round Peru,5.900 x 5.900 x 3.940,0.690,,No Treatment,VS,Faceted,Round,,
PRETTY 2.40Cts Candy Pink Natural Topaz Concave Round Cut Brazil,8.000 x 8.000 x 5.200,2.400,,Surface Coating,VVS,Faceted,Round,,
CUSTOM CUT 3.28Cts Natural Golden Orange Citrine Fancy Brazil,10.700 x 7.500 x 6.000,3.280,,No Treatment,VVS,Faceted,"Emerald, Fancy, Octagonal",,
Vivid Color 0.12Cts Natural Blue Diamond Round Cut Africa,3.000 x 3.000 x 2.200,0.120,,Irradiated,SI,Faceted,Round,,
Wonderful Color 4.13Cts Natural AAAA Purple Amethyst Trillion Cut Bolivia,6.800 x 6.800 x 3.900,4.130,,No Treatment,VVS,Faceted,Trilliant,,
Vivid Color 0.05Cts Natural Pink Diamond Round Cut Africa,2.000 x 2.000 x 1.270,0.050,,Irradiated,SI,Faceted,Round,,
0.13Cts Natural Yellow Diamond Princess Cut Africa,2.500 x 2.500 x 2.080,0.130,,Irradiated,SI,Faceted,Princess,,
Super Green 1.03Cts Natural Tsavorite Garnet Round 2mm Parcel Kenya,2.500 x 2.200 x 2.200,1.030,,No Treatment,VS,Faceted,Round,,
*BRILLIANT CUT* 1.94Cts Natural London Blue Topaz Round USA,6.000 x 6.000 x 3.700,1.940,,Irradiated,VVS,Faceted,Round,,
2.13Cts Natural Mystic Quartz 10X8mm Oval Concave Cut Brazil,10.000 x 8.000 x 4.870,2.130,,Surface Coating,VVS,Faceted,Oval,,
2.71 Cts Natural Mandarin Red Garnet Octagon Cut Malawi - Africa,9.000 x 7.000 x 4.200,2.710,,No Treatment,VS,Faceted,"Octagonal, Emerald",,
0.83Cts Natural Grape Mahenge Garnet Pear Cut - Africa,8.000 x 8.000 x 2.770,0.830,,No Treatment,VS,Faceted,Pear,,
Rarest 3.29Cts Natural Color Change Fluorite Pear Afghanistan,12.000 x 8.000 x 5.600,3.290,,Heat Treatment,VS,Faceted,Pear,,
21.25 Cts Natural Swiss Blue Topaz Cushion Cut USA,14.620 x 13.680 x 11.910,21.250,,Irradiated,VVS,Faceted,Cushion,170.00 ,299.00
24.56 Cts Natural Swiss Blue Topaz Pear Cut USA,21.640 x 14.000 x 10.980,24.560,,Irradiated,VVS,Faceted,Pear,199.00 ,399.00
37.61 Cts Natural Swiss Blue Topaz Pear Cut USA,19.780 x 18.050 x 13.930,37.610,,Irradiated,VVS,Faceted,Pear,300.00 ,499.00
27.91 Cts Natural Swiss Blue Topaz Pear Cut USA,25.560 x 13.790 x 10.520,27.910,,Irradiated,VVS,Faceted,Pear,225.00 ,399.00
29.78 Cts Natural Swiss Blue Topaz Pear Cut USA,25.500 x 14.800 x 10.850,29.780,,Irradiated,VVS,Faceted,Pear,240.00 ,449.00
38.27 Cts Natural Swiss Blue Topaz Pear Cut USA,25.610 x 16.380 x 12.240,38.230,,Irradiated,VVS,Faceted,Pear,305.00 ,499.00
23.07 Cts Natural Swiss Blue Topaz Pear Cut USA,23.710 x 12.770 x 10.890,23.070,,Irradiated,VVS,Faceted,Pear,189.00 ,249.00
20.36 Cts Natural Swiss Blue Topaz Pear Cut USA,21.790 x 12.200 x 10.120,20.360,,Irradiated,VVS,Faceted,Pear,165.00 ,249.00
Excellent Color 5.16 Cts Natural Golden Zircon Cute Heart Cut Tanzania,10.640 x 9.660 x 6.000,5.160,,No Treatment,VS,Faceted,Heart,,
12.41 Cts Dazzling Natural Blue - Zircon - Cambodia Gem,14.100 x 14.100 x 7.250,12.410,,,VS,Faceted,Triangle,"1,150.00 ","2,500.00"
3.84 Cts Fanta Orange Natural Spessartite Garnet Namibia,8.830 x 7.350 x 6.380,3.840,,No Treatment,VS,Faceted,Oval,190.00 ,
23.82 Cts Natural Prasiolite(Green Amethyst ) Custom cut,25.000 x 17.500 x 11.800,23.820,,No Treatment,VVS,Faceted,Fancy,99.00 ,350.00
22.48 Cts Natural Prasiolite(Green Amethyst ) Custom cut,20.000 x 15.300 x 12.800,22.480,,Heat Treatment,,Faceted,Oval,88.88 ,
