Title,Dimension (mm),Length (mm),Width (mm),Height (mm),Color,Gem_type,Weight (cts),Certified Gemstones,Treatment,Clarity,Type,Shape,Price,Estimated RRP
21.25 Cts Natural Swiss Blue Topaz Cushion Cut USA,14.620 x 13.680 x 11.910,14.62,13.68,11.91,blue,topaz,21.25,No,Irradiated,"Very, Very Small inclusions",Faceted,Cushion,170.0,299.0
24.56 Cts Natural Swiss Blue Topaz Pear Cut USA,21.640 x 14.000 x 10.980,21.64,14.0,10.98,blue,topaz,24.56,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,199.0,399.0
37.61 Cts Natural Swiss Blue Topaz Pear Cut USA,19.780 x 18.050 x 13.930,19.78,18.05,13.93,blue,topaz,37.61,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,300.0,499.0
27.91 Cts Natural Swiss Blue Topaz Pear Cut USA,25.560 x 13.790 x 10.520,25.56,13.79,10.52,blue,topaz,27.91,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,225.0,399.0
29.78 Cts Natural Swiss Blue Topaz Pear Cut USA,25.500 x 14.800 x 10.850,25.5,14.8,10.85,blue,topaz,29.78,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,240.0,449.0
38.27 Cts Natural Swiss Blue Topaz Pear Cut USA,25.610 x 16.380 x 12.240,25.61,16.38,12.24,blue,topaz,38.23,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,305.0,499.0
23.07 Cts Natural Swiss Blue Topaz Pear Cut USA,23.710 x 12.770 x 10.890,23.71,12.77,10.89,blue,topaz,23.07,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,189.0,249.0
20.36 Cts Natural Swiss Blue Topaz Pear Cut USA,21.790 x 12.200 x 10.120,21.79,12.2,10.12,blue,topaz,20.36,No,Irradiated,"Very, Very Small inclusions",Faceted,Pear,165.0,249.0
12.41 Cts Dazzling Natural Blue - Zircon - Cambodia Gem,14.100 x 14.100 x 7.250,14.1,14.1,7.25,blue,zircon,12.41,No,Unknown,Very Small inclusions,Faceted,Triangle,1150.0,2500.0
3.84 Cts Fanta Orange Natural Spessartite Garnet Namibia,8.830 x 7.350 x 6.380,8.83,7.35,6.38,orange,garnet,3.84,No,No Treatment,Very Small inclusions,Faceted,Oval,190.0,1425.0
23.82 Cts Natural Prasiolite(Green Amethyst ) Custom cut,25.000 x 17.500 x 11.800,25.0,17.5,11.8,green,amethyst,23.82,No,No Treatment,"Very, Very Small inclusions",Faceted,Fancy,99.0,350.0
22.48 Cts Natural Prasiolite(Green Amethyst ) Custom cut,20.000 x 15.300 x 12.800,20.0,15.3,12.8,green,amethyst,22.48,No,Heat Treatment,unknown,Faceted,Oval,88.88,257.5
29.30 Cts Natural Prasiolite(Green Amethyst ) Custom cut,24.900 x 17.200 x 15.100,24.9,17.2,15.1,green,amethyst,29.3,No,Heat Treatment,Very Small inclusions,Faceted,"Fancy, Pear",125.0,165.0
Amazing Color 1.72 Cts Natural Aquamarine Baguette Cut Brazil,7.200 x 6.100 x 5.000,7.2,6.1,5.0,natural,aquamarine,1.72,No,No Treatment,Very Small inclusions,Faceted,Baguette,75.0,867.43
Excellent Color 1.88 Cts Natural Aquamarine Baguette Cut Brazil,10.000 x 5.600 x 4.100,10.0,5.6,4.1,natural,aquamarine,1.88,No,No Treatment,Very Small inclusions,Faceted,Baguette,85.0,1569.86
Beautiful Color 3.10 Cts Natural Aquamarine Baguette Cut Brazil,16.500 x 5.200 x 4.300,16.5,5.2,4.3,natural,aquamarine,3.1,No,No Treatment,Very Small inclusions,Faceted,Baguette,140.0,2272.29
Exquisite Color 3.50 Cts Natural Aquamarine Baguette Cut Brazil,13.000 x 6.200 x 5.300,13.0,6.2,5.3,natural,aquamarine,3.5,No,No Treatment,Very Small inclusions,Faceted,Baguette,155.0,2974.71
Amazing Color 4.16 Cts Natural Aquamarine Baguette Cut Brazil,20.000 x 5.300 x 4.500,20.0,5.3,4.5,natural,aquamarine,4.16,No,No Treatment,Very Small inclusions,Faceted,Baguette,185.0,3677.14
1.50 Cts Color Change Natural Malaya Garnet Trillion Cut Madagascar,7.000 x 7.000 x 4.330,7.0,7.0,4.33,natural,garnet,1.5,No,No Treatment,Very Small inclusions,Faceted,Trilliant,85.0,4379.57
1.56 Cts Color Change Natural Malaya Garnet Round Cut Madagascar,6.630 x 6.630 x 4.800,6.63,6.63,4.8,natural,garnet,1.56,No,No Treatment,Very Small inclusions,Faceted,Round,88.0,5082.0
1.73 Cts Color Change Natural Malaya Drop Cut Madagascar,6.830 x 6.590 x 5.150,6.83,6.59,5.15,natural,na,1.73,No,No Treatment,Very Small inclusions,Faceted,Drop,99.0,5784.43
1.58 Cts Color Change Natural Malaya Garnet Cushion Cut Madagascar,6.630 x 6.580 x 4.210,6.63,6.58,4.21,natural,garnet,1.58,No,No Treatment,Very Small inclusions,Faceted,Cushion,90.0,6486.86
1.79 Cts Color Change Natural Malaya Garnet Scissor Cut Madagascar,8.010 x 5.510 x 3.690,8.01,5.51,3.69,natural,garnet,1.79,No,No Treatment,Very Small inclusions,Faceted,"Octagonal, Radiant",99.0,7189.29
